case_id,repository,pr_number,language,code_changed_files,code_diff_excerpt,docs_before_excerpt,suggested_docs_update_required,suggested_doc_category,suggested_notes,human_docs_update_required,human_doc_category,human_label_notes,review_status,review_row_hash,review_context_hash,synthetic_category_by_design,source_project_key,mutation_template,patch_path
CRPP2-RPP-API_REFERENCE-141,controlled-v2/rbi-related-parties-portal-copy,9400601,typescript,"[""src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json""]","--- a/src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json
+++ b/src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json
@@ -3,7 +3,7 @@
   ""contracts"": [
     {
       ""contractId"": ""RPP-API-141"",
-      ""method"": ""POST"",
+      ""method"": ""PUT"",
       ""operationId"": ""rbirelatedpartiesportalOperation141"",
       ""path"": ""/api/rbi-related-parties-portal/v1/resources/141"",
       ""requiredQuery"": [
","<!-- docs/docguard-contract-lab-v2/API_REFERENCE.md @ controlled-baseline:19b04b8dac0d1838 -->
### RPP-API-141
- Operation: `rbirelatedpartiesportalOperation141`
- Public endpoint: `POST /api/rbi-related-parties-portal/v1/resources/141`
- Required query parameters: `tenantId`
- Success response status: `200`
",True,api_reference,Controlled design expectation: api_reference; independent human/owner acceptance still required before merge.,True,api_reference,"RPP-API-141: kod mijenja javni API ugovor iz 'POST' u 'PUT' (http_method_change), dok docs-before eksplicitno navodi staru vrijednost; dokumentacija bi zato postala zastarjela.",approved,93b6a4d218da48e07c6f8e74808a324f461d62678186a155218201e3a09c045a,9ac41c4d95413604eb9f09dfe6deeb1cbf88c381b18121e5277c6ab8b4144508,api_reference,rbi_related_parties_portal,http_method_change,cases/patches/rbi_related_parties_portal/api_reference/RPP-API-141.patch
CRPP2-RPP-API_REFERENCE-142,controlled-v2/rbi-related-parties-portal-copy,9400602,typescript,"[""src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json""]","--- a/src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json
+++ b/src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json
@@ -15,7 +15,7 @@
       ""contractId"": ""RPP-API-142"",
       ""method"": ""PUT"",
       ""operationId"": ""rbirelatedpartiesportalOperation142"",
-      ""path"": ""/api/rbi-related-parties-portal/v1/resources/142"",
+      ""path"": ""/api/rbi-related-parties-portal/v2/resources/142"",
       ""requiredQuery"": [
         ""tenantId""
       ],
","<!-- docs/docguard-contract-lab-v2/API_REFERENCE.md @ controlled-baseline:19b04b8dac0d1838 -->
### RPP-API-142
- Operation: `rbirelatedpartiesportalOperation142`
- Public endpoint: `PUT /api/rbi-related-parties-portal/v1/resources/142`
- Required query parameters: `tenantId`
- Success response status: `200`
",True,api_reference,Controlled design expectation: api_reference; independent human/owner acceptance still required before merge.,True,api_reference,"RPP-API-142: kod mijenja javni API ugovor iz '/api/rbi-related-parties-portal/v1/resources/142' u '/api/rbi-related-parties-portal/v2/resources/142' (endpoint_version_change), dok docs-before eksplicitno navodi staru vrijednost; dokumentacija bi zato postala zastarjela.",approved,d708c6f3c02e2cf22094975b37c28478b4387ab9327d37e1dd50741eee6fb54b,dc311e0a5b0d40c26682c2dfa63c5a77b870ad6e81b5d52164d2d5ac374fafaf,api_reference,rbi_related_parties_portal,endpoint_version_change,cases/patches/rbi_related_parties_portal/api_reference/RPP-API-142.patch
CRPP2-RPP-API_REFERENCE-143,controlled-v2/rbi-related-parties-portal-copy,9400603,typescript,"[""src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json""]","--- a/src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json
+++ b/src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json
@@ -27,7 +27,8 @@
       ""operationId"": ""rbirelatedpartiesportalOperation143"",
       ""path"": ""/api/rbi-related-parties-portal/v1/resources/143"",
       ""requiredQuery"": [
-        ""tenantId""
+        ""tenantId"",
+        ""includeAudit""
       ],
       ""successStatus"": 200
     },
","<!-- docs/docguard-contract-lab-v2/API_REFERENCE.md @ controlled-baseline:19b04b8dac0d1838 -->
### RPP-API-143
- Operation: `rbirelatedpartiesportalOperation143`
- Public endpoint: `DELETE /api/rbi-related-parties-portal/v1/resources/143`
- Required query parameters: `tenantId`
- Success response status: `200`
",True,api_reference,Controlled design expectation: api_reference; independent human/owner acceptance still required before merge.,True,api_reference,"RPP-API-143: kod mijenja javni API ugovor iz 'tenantId' u 'tenantId, includeAudit' (required_parameter_added), dok docs-before eksplicitno navodi staru vrijednost; dokumentacija bi zato postala zastarjela.",approved,78daf411f549ee46bfd411c7ed7880713f6b710ac5b316e1df580b8eae321c92,e19d3a4f891cc6f2ef389e84712857a15e31b2d247777f6a51fc317613c09e3e,api_reference,rbi_related_parties_portal,required_parameter_added,cases/patches/rbi_related_parties_portal/api_reference/RPP-API-143.patch
CRPP2-RPP-API_REFERENCE-144,controlled-v2/rbi-related-parties-portal-copy,9400604,typescript,"[""src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json""]","--- a/src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json
+++ b/src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json
@@ -39,7 +39,7 @@
       ""requiredQuery"": [
         ""tenantId""
       ],
-      ""successStatus"": 200
+      ""successStatus"": 202
     },
     {
       ""contractId"": ""RPP-API-145"",
","<!-- docs/docguard-contract-lab-v2/API_REFERENCE.md @ controlled-baseline:19b04b8dac0d1838 -->
### RPP-API-144
- Operation: `rbirelatedpartiesportalOperation144`
- Public endpoint: `GET /api/rbi-related-parties-portal/v1/resources/144`
- Required query parameters: `tenantId`
- Success response status: `200`
",True,api_reference,Controlled design expectation: api_reference; independent human/owner acceptance still required before merge.,True,api_reference,"RPP-API-144: kod mijenja javni API ugovor iz '200' u '202' (success_status_change), dok docs-before eksplicitno navodi staru vrijednost; dokumentacija bi zato postala zastarjela.",approved,de5d1be7dddb7316562bc72d347d31be6554e6be0941473e4707a84171240622,8969f2ce8bb429e6b1f295103637533e02ab0dc0570ccbbb0351fac3284998f6,api_reference,rbi_related_parties_portal,success_status_change,cases/patches/rbi_related_parties_portal/api_reference/RPP-API-144.patch
CRPP2-RPP-API_REFERENCE-145,controlled-v2/rbi-related-parties-portal-copy,9400605,typescript,"[""src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json""]","--- a/src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json
+++ b/src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json
@@ -43,7 +43,7 @@
     },
     {
       ""contractId"": ""RPP-API-145"",
-      ""method"": ""POST"",
+      ""method"": ""PUT"",
       ""operationId"": ""rbirelatedpartiesportalOperation145"",
       ""path"": ""/api/rbi-related-parties-portal/v1/resources/145"",
       ""requiredQuery"": [
","<!-- docs/docguard-contract-lab-v2/API_REFERENCE.md @ controlled-baseline:19b04b8dac0d1838 -->
### RPP-API-145
- Operation: `rbirelatedpartiesportalOperation145`
- Public endpoint: `POST /api/rbi-related-parties-portal/v1/resources/145`
- Required query parameters: `tenantId`
- Success response status: `200`
",True,api_reference,Controlled design expectation: api_reference; independent human/owner acceptance still required before merge.,True,api_reference,"RPP-API-145: kod mijenja javni API ugovor iz 'POST' u 'PUT' (http_method_change), dok docs-before eksplicitno navodi staru vrijednost; dokumentacija bi zato postala zastarjela.",approved,5bbf4ccc31c3d979038f71653c162daed12f3b8924a720e2b43e341ae573aa32,7fab239ee718aea92074dbf138eefeb97282485780d9e6eccdce2f26c2e127d4,api_reference,rbi_related_parties_portal,http_method_change,cases/patches/rbi_related_parties_portal/api_reference/RPP-API-145.patch
CRPP2-RPP-API_REFERENCE-146,controlled-v2/rbi-related-parties-portal-copy,9400606,typescript,"[""src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json""]","--- a/src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json
+++ b/src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json
@@ -55,7 +55,7 @@
       ""contractId"": ""RPP-API-146"",
       ""method"": ""PUT"",
       ""operationId"": ""rbirelatedpartiesportalOperation146"",
-      ""path"": ""/api/rbi-related-parties-portal/v1/resources/146"",
+      ""path"": ""/api/rbi-related-parties-portal/v2/resources/146"",
       ""requiredQuery"": [
         ""tenantId""
       ],
","<!-- docs/docguard-contract-lab-v2/API_REFERENCE.md @ controlled-baseline:19b04b8dac0d1838 -->
### RPP-API-146
- Operation: `rbirelatedpartiesportalOperation146`
- Public endpoint: `PUT /api/rbi-related-parties-portal/v1/resources/146`
- Required query parameters: `tenantId`
- Success response status: `200`
",True,api_reference,Controlled design expectation: api_reference; independent human/owner acceptance still required before merge.,True,api_reference,"RPP-API-146: kod mijenja javni API ugovor iz '/api/rbi-related-parties-portal/v1/resources/146' u '/api/rbi-related-parties-portal/v2/resources/146' (endpoint_version_change), dok docs-before eksplicitno navodi staru vrijednost; dokumentacija bi zato postala zastarjela.",approved,06a80964af480ef52dad810429bb17fcf640a1ee9cb81ea780432772f8d29f04,54c649753e2c3acdd700555cf7707be6eef3c3715633c9ce4c265bc3ec97c8b1,api_reference,rbi_related_parties_portal,endpoint_version_change,cases/patches/rbi_related_parties_portal/api_reference/RPP-API-146.patch
CRPP2-RPP-API_REFERENCE-147,controlled-v2/rbi-related-parties-portal-copy,9400607,typescript,"[""src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json""]","--- a/src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json
+++ b/src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json
@@ -67,7 +67,8 @@
       ""operationId"": ""rbirelatedpartiesportalOperation147"",
       ""path"": ""/api/rbi-related-parties-portal/v1/resources/147"",
       ""requiredQuery"": [
-        ""tenantId""
+        ""tenantId"",
+        ""includeAudit""
       ],
       ""successStatus"": 200
     },
","<!-- docs/docguard-contract-lab-v2/API_REFERENCE.md @ controlled-baseline:19b04b8dac0d1838 -->
### RPP-API-147
- Operation: `rbirelatedpartiesportalOperation147`
- Public endpoint: `DELETE /api/rbi-related-parties-portal/v1/resources/147`
- Required query parameters: `tenantId`
- Success response status: `200`
",True,api_reference,Controlled design expectation: api_reference; independent human/owner acceptance still required before merge.,True,api_reference,"RPP-API-147: kod mijenja javni API ugovor iz 'tenantId' u 'tenantId, includeAudit' (required_parameter_added), dok docs-before eksplicitno navodi staru vrijednost; dokumentacija bi zato postala zastarjela.",approved,0290014dbd81484321f946b2c6cb40c856e3b4d1e5a061ed8c30d75ecf04ba82,7a10139d9240b7f06614370e2f4c9db88133c3396a494c549e941616d0eeeb3b,api_reference,rbi_related_parties_portal,required_parameter_added,cases/patches/rbi_related_parties_portal/api_reference/RPP-API-147.patch
CRPP2-RPP-API_REFERENCE-148,controlled-v2/rbi-related-parties-portal-copy,9400608,typescript,"[""src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json""]","--- a/src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json
+++ b/src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json
@@ -79,7 +79,7 @@
       ""requiredQuery"": [
         ""tenantId""
       ],
-      ""successStatus"": 200
+      ""successStatus"": 202
     },
     {
       ""contractId"": ""RPP-API-149"",
","<!-- docs/docguard-contract-lab-v2/API_REFERENCE.md @ controlled-baseline:19b04b8dac0d1838 -->
### RPP-API-148
- Operation: `rbirelatedpartiesportalOperation148`
- Public endpoint: `GET /api/rbi-related-parties-portal/v1/resources/148`
- Required query parameters: `tenantId`
- Success response status: `200`
",True,api_reference,Controlled design expectation: api_reference; independent human/owner acceptance still required before merge.,True,api_reference,"RPP-API-148: kod mijenja javni API ugovor iz '200' u '202' (success_status_change), dok docs-before eksplicitno navodi staru vrijednost; dokumentacija bi zato postala zastarjela.",approved,d5201da7116f117a95e183c848a294bcf26bd1d74b35fac1207e3462d28e7631,3e452623726441f9d663ed2d6cc33b4b0d1ababf11566f3f65fe2363c230cb3a,api_reference,rbi_related_parties_portal,success_status_change,cases/patches/rbi_related_parties_portal/api_reference/RPP-API-148.patch
CRPP2-RPP-API_REFERENCE-149,controlled-v2/rbi-related-parties-portal-copy,9400609,typescript,"[""src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json""]","--- a/src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json
+++ b/src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json
@@ -83,7 +83,7 @@
     },
     {
       ""contractId"": ""RPP-API-149"",
-      ""method"": ""POST"",
+      ""method"": ""PUT"",
       ""operationId"": ""rbirelatedpartiesportalOperation149"",
       ""path"": ""/api/rbi-related-parties-portal/v1/resources/149"",
       ""requiredQuery"": [
","<!-- docs/docguard-contract-lab-v2/API_REFERENCE.md @ controlled-baseline:19b04b8dac0d1838 -->
### RPP-API-149
- Operation: `rbirelatedpartiesportalOperation149`
- Public endpoint: `POST /api/rbi-related-parties-portal/v1/resources/149`
- Required query parameters: `tenantId`
- Success response status: `200`
",True,api_reference,Controlled design expectation: api_reference; independent human/owner acceptance still required before merge.,True,api_reference,"RPP-API-149: kod mijenja javni API ugovor iz 'POST' u 'PUT' (http_method_change), dok docs-before eksplicitno navodi staru vrijednost; dokumentacija bi zato postala zastarjela.",approved,f888151dd84ebfefb64d479da3528716aaef2e53b642bdc53accb604a76ea012,8cdfb8433d8227775e6d20855744fce349925f0b6caa17fa7b233a396f7bbca2,api_reference,rbi_related_parties_portal,http_method_change,cases/patches/rbi_related_parties_portal/api_reference/RPP-API-149.patch
CRPP2-RPP-API_REFERENCE-150,controlled-v2/rbi-related-parties-portal-copy,9400610,typescript,"[""src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json""]","--- a/src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json
+++ b/src/Web/src/docguard-contract-lab-v2/api_reference/contracts_05.json
@@ -95,7 +95,7 @@
       ""contractId"": ""RPP-API-150"",
       ""method"": ""PUT"",
       ""operationId"": ""rbirelatedpartiesportalOperation150"",
-      ""path"": ""/api/rbi-related-parties-portal/v1/resources/150"",
+      ""path"": ""/api/rbi-related-parties-portal/v2/resources/150"",
       ""requiredQuery"": [
         ""tenantId""
       ],
","<!-- docs/docguard-contract-lab-v2/API_REFERENCE.md @ controlled-baseline:19b04b8dac0d1838 -->
### RPP-API-150
- Operation: `rbirelatedpartiesportalOperation150`
- Public endpoint: `PUT /api/rbi-related-parties-portal/v1/resources/150`
- Required query parameters: `tenantId`
- Success response status: `200`
",True,api_reference,Controlled design expectation: api_reference; independent human/owner acceptance still required before merge.,True,api_reference,"RPP-API-150: kod mijenja javni API ugovor iz '/api/rbi-related-parties-portal/v1/resources/150' u '/api/rbi-related-parties-portal/v2/resources/150' (endpoint_version_change), dok docs-before eksplicitno navodi staru vrijednost; dokumentacija bi zato postala zastarjela.",approved,71338056306b352884f2bf95677404227ff9731f43e170bc7a2aee21e3aca2e2,c2f5fda74a18276bf23529a5cb8473b82336f5110e467464b376b840878d5e64,api_reference,rbi_related_parties_portal,endpoint_version_change,cases/patches/rbi_related_parties_portal/api_reference/RPP-API-150.patch
