case_id,gold,tfidf_v8_prediction,semantic__natural_only__ovr_logreg_prediction,semantic__natural_plus_controlled__multinomial_logreg_prediction,hybrid__natural_plus_controlled__ovr_logreg_prediction,semantic__natural_only__ovr_logreg_confidence,semantic__natural_plus_controlled__multinomial_logreg_confidence,hybrid__natural_plus_controlled__ovr_logreg_confidence
DGPR-936a9e5aa3139cc2,developer_setup,configuration,configuration,configuration,configuration,0.5501847571019939,0.7259974346571484,0.6360588453602722
DGPR-a28737ef5d570cde,developer_setup,configuration,configuration,developer_setup,developer_setup,0.5272842587543112,0.48715390274885245,0.38732995998020087
GH-CAND-5584,developer_setup,model_contract,model_contract,model_contract,model_contract,0.5023819701080731,0.6964713657798617,0.6453605404442221
GH-CAND-5649,developer_setup,model_contract,configuration,configuration,configuration,0.5912558943313173,0.7469715113494041,0.5899625144726863
GH-CAND-4943,developer_setup,api_reference,api_reference,api_reference,api_reference,0.4763163423206117,0.668315910718369,0.5303203628701441
GH-CAND-6192,developer_setup,api_reference,api_reference,configuration,api_reference,0.4541732727137328,0.41117332179246213,0.3999507428533482
GH-CAND-6194,developer_setup,api_reference,configuration,configuration,api_reference,0.37411730020364425,0.5000191804258953,0.3620978080580529
GH-CAND-6202,developer_setup,api_reference,configuration,configuration,model_contract,0.3148233819349298,0.3779513195523342,0.38061394531824544
GH-CAND-6219,developer_setup,api_reference,api_reference,configuration,api_reference,0.5081947411261364,0.34930197601588087,0.505412370476534
GH-CAND-6222,developer_setup,configuration,configuration,configuration,configuration,0.3283755074843818,0.45411664616020003,0.40641196315080963
GH-CAND-6232,developer_setup,api_reference,configuration,configuration,configuration,0.5672065755819182,0.6882721058221228,0.5966504018533377
GH-CAND-6257,developer_setup,configuration,configuration,configuration,configuration,0.4927150566420364,0.6172830945299118,0.40950366688337375
GH-CAND-6273,developer_setup,api_reference,api_reference,configuration,api_reference,0.5451627498165585,0.3324663136037035,0.4562641884617933
GH-CAND-4565,developer_setup,model_contract,model_contract,model_contract,model_contract,0.4302198827404464,0.38712472534356035,0.5077451420126514
GH-CAND-4566,developer_setup,configuration,configuration,configuration,model_contract,0.3707329291673114,0.4878951595991964,0.3564606281198191
GH-CAND-4567,developer_setup,configuration,configuration,configuration,configuration,0.4857727403834624,0.6266283256790687,0.529879407913802
GH-CAND-4568,developer_setup,configuration,configuration,configuration,configuration,0.40105810499451283,0.5405896152419822,0.47030118116792813
GH-CAND-4580,developer_setup,model_contract,configuration,configuration,configuration,0.5523459098751272,0.7062699468039552,0.48664400436026267
GH-CAND-4587,developer_setup,model_contract,model_contract,model_contract,model_contract,0.39905028506281415,0.31825070550718276,0.40868150726757735
