task,family,fold,rows,primary_metric,primary,selected_threshold,selected_config
binary,M0,0,4374,mcc,0.0,,null
binary,M0,1,4374,mcc,0.0,,null
binary,M0,2,4485,mcc,0.0,,null
binary,M0,3,4470,mcc,0.0,,null
binary,M0,4,4463,mcc,0.0,,null
binary,M1,0,4374,mcc,0.7541394521100774,0.3,"{""C"": 4.0, ""class_weight"": null, ""semantic_scale"": 1.0}"
binary,M1,1,4374,mcc,0.6904569098880454,0.35,"{""C"": 1.0, ""class_weight"": ""balanced"", ""semantic_scale"": 1.0}"
binary,M1,2,4485,mcc,0.9256980385301783,0.35,"{""C"": 0.25, ""class_weight"": ""balanced"", ""semantic_scale"": 1.0}"
binary,M1,3,4470,mcc,0.8649273488851139,0.3,"{""C"": 1.0, ""class_weight"": ""balanced"", ""semantic_scale"": 1.0}"
binary,M1,4,4463,mcc,0.9161016503696378,0.3,"{""C"": 4.0, ""class_weight"": null, ""semantic_scale"": 1.0}"
binary,M2,0,4374,mcc,0.6878290957803457,0.95,"{""C"": 0.25, ""class_weight"": null, ""semantic_scale"": 1.0}"
binary,M2,1,4374,mcc,0.6906323340528802,0.85,"{""C"": 0.25, ""class_weight"": null, ""semantic_scale"": 1.0}"
binary,M2,2,4485,mcc,0.8969730936573022,0.8,"{""C"": 0.25, ""class_weight"": null, ""semantic_scale"": 1.0}"
binary,M2,3,4470,mcc,0.8982476862941889,0.85,"{""C"": 0.25, ""class_weight"": null, ""semantic_scale"": 1.0}"
binary,M2,4,4463,mcc,0.8811206038972789,0.95,"{""C"": 0.25, ""class_weight"": null, ""semantic_scale"": 1.0}"
binary,M3,0,4374,mcc,0.7004908801461412,0.6,"{""C"": 0.25, ""class_weight"": null, ""semantic_scale"": 0.25}"
binary,M3,1,4374,mcc,0.708634569779674,0.55,"{""C"": 0.25, ""class_weight"": null, ""semantic_scale"": 0.25}"
binary,M3,2,4485,mcc,0.9215414916445026,0.5,"{""C"": 0.25, ""class_weight"": null, ""semantic_scale"": 0.25}"
binary,M3,3,4470,mcc,0.9037894775728555,0.55,"{""C"": 0.25, ""class_weight"": null, ""semantic_scale"": 0.25}"
binary,M3,4,4463,mcc,0.9129157485839002,0.5,"{""C"": 0.25, ""class_weight"": null, ""semantic_scale"": 0.25}"
category,M0,0,1040,macro_f1,0.11566888396156688,,null
category,M0,1,1028,macro_f1,0.11698956780923994,,null
category,M0,2,1036,macro_f1,0.11601186063750926,,null
category,M0,3,1059,macro_f1,0.11713665943600868,,null
category,M0,4,657,macro_f1,0.12241379310344827,,null
category,M1,0,1040,macro_f1,0.9425150634865136,,"{""C"": 4.0, ""class_weight"": ""balanced"", ""semantic_scale"": 1.0}"
category,M1,1,1028,macro_f1,0.6637495200141489,,"{""C"": 4.0, ""class_weight"": null, ""semantic_scale"": 1.0}"
category,M1,2,1036,macro_f1,0.9169306039575356,,"{""C"": 4.0, ""class_weight"": ""balanced"", ""semantic_scale"": 1.0}"
category,M1,3,1059,macro_f1,0.9135125352993096,,"{""C"": 4.0, ""class_weight"": ""balanced"", ""semantic_scale"": 1.0}"
category,M1,4,657,macro_f1,0.851815578209249,,"{""C"": 4.0, ""class_weight"": ""balanced"", ""semantic_scale"": 1.0}"
category,M2,0,1040,macro_f1,0.940023194857273,,"{""C"": 0.25, ""class_weight"": ""balanced"", ""semantic_scale"": 1.0}"
category,M2,1,1028,macro_f1,0.6650163602967121,,"{""C"": 1.0, ""class_weight"": ""balanced"", ""semantic_scale"": 1.0}"
category,M2,2,1036,macro_f1,0.8881211493929062,,"{""C"": 0.25, ""class_weight"": null, ""semantic_scale"": 1.0}"
category,M2,3,1059,macro_f1,0.898990685833086,,"{""C"": 0.25, ""class_weight"": null, ""semantic_scale"": 1.0}"
category,M2,4,657,macro_f1,0.7848709725534986,,"{""C"": 1.0, ""class_weight"": ""balanced"", ""semantic_scale"": 1.0}"
category,M3,0,1040,macro_f1,0.9409792767451617,,"{""C"": 0.25, ""class_weight"": ""balanced"", ""semantic_scale"": 0.25}"
category,M3,1,1028,macro_f1,0.6722627900452843,,"{""C"": 0.25, ""class_weight"": null, ""semantic_scale"": 0.25}"
category,M3,2,1036,macro_f1,0.8889840655961366,,"{""C"": 0.25, ""class_weight"": null, ""semantic_scale"": 0.25}"
category,M3,3,1059,macro_f1,0.8974318467006763,,"{""C"": 0.25, ""class_weight"": ""balanced"", ""semantic_scale"": 0.25}"
category,M3,4,657,macro_f1,0.7989082109523308,,"{""C"": 0.25, ""class_weight"": null, ""semantic_scale"": 0.25}"
