task,fold,repository,case_count,label_distribution,language_distribution
binary,1,1catai/1cat-vllm,80,"{""0"": 80}","{""python"": 80}"
binary,0,1panel-dev/maxkb,80,"{""0"": 80}","{""python"": 80}"
binary,2,217heidai/adblockfilters,6,"{""0"": 6}","{""python"": 6}"
binary,3,521xueweihan/github520,10,"{""0"": 10}","{""python"": 10}"
binary,2,a2ui-project/a2ui,86,"{""0"": 84, ""1"": 2}","{""typescript"": 86}"
binary,3,aaddrick/claude-desktop-debian,80,"{""0"": 75, ""1"": 5}","{""typescript"": 80}"
binary,2,abrignoni/ileapp,80,"{""0"": 79, ""1"": 1}","{""python"": 80}"
binary,0,activeing123/mcptoon,1,"{""0"": 1}","{""python"": 1}"
binary,4,activepieces/activepieces,80,"{""0"": 78, ""1"": 2}","{""typescript"": 80}"
binary,2,aeonfun/aeon,40,"{""0"": 40}","{""typescript"": 40}"
binary,0,ag-ui-protocol/ag-ui,80,"{""0"": 78, ""1"": 2}","{""python"": 80}"
binary,1,agalwood/motrix,80,"{""0"": 78, ""1"": 2}","{""typescript"": 80}"
binary,2,agentconnect-md/agentconnect,80,"{""0"": 79, ""1"": 1}","{""typescript"": 80}"
binary,1,agentscope-ai/qwenpaw,80,"{""0"": 79, ""1"": 1}","{""python"": 80}"
binary,2,agno-agi/agno,80,"{""0"": 77, ""1"": 3}","{""python"": 80}"
binary,4,aio-libs/aiohttp,80,"{""0"": 80}","{""python"": 80}"
binary,2,aipoch/open-science,80,"{""0"": 80}","{""typescript"": 80}"
binary,1,airbrake/airbrake-js,80,"{""0"": 80}","{""typescript"": 80}"
binary,3,airbytehq/airbyte,80,"{""0"": 79, ""1"": 1}","{""python"": 80}"
binary,3,aiskillstore/marketplace,76,"{""0"": 76}","{""python"": 76}"
binary,2,akfamily/akquant,80,"{""0"": 79, ""1"": 1}","{""python"": 80}"
binary,3,alishahryar1/free-claude-code,80,"{""0"": 80}","{""python"": 80}"
binary,0,amd-agi/primus,80,"{""0"": 73, ""1"": 7}","{""python"": 80}"
binary,3,andymai/gridfinity-layout-tool,80,"{""0"": 80}","{""typescript"": 80}"
binary,0,aneasystone/github-trending,1,"{""0"": 1}","{""python"": 1}"
binary,3,angr/angr,80,"{""0"": 80}","{""python"": 80}"
binary,0,angular/angular,157,"{""0"": 105, ""1"": 52}","{""typescript"": 157}"
binary,4,angular/angular-cli,153,"{""0"": 102, ""1"": 51}","{""typescript"": 153}"
binary,1,anomalyco/models.dev,80,"{""0"": 80}","{""typescript"": 80}"
binary,0,anomalyco/opencode,80,"{""0"": 80}","{""typescript"": 80}"
binary,3,anomalyco/opentui,80,"{""0"": 80}","{""typescript"": 80}"
binary,3,ansible/ansible,80,"{""0"": 80}","{""python"": 80}"
binary,4,ant-design/ant-design,126,"{""0"": 105, ""1"": 21}","{""typescript"": 126}"
binary,4,anthropics/anthropic-sdk-python,80,"{""0"": 78, ""1"": 2}","{""python"": 80}"
binary,0,anthropics/anthropic-sdk-typescript,80,"{""0"": 76, ""1"": 4}","{""typescript"": 80}"
binary,0,anywhere-labs/dsh-desktop,79,"{""0"": 79}","{""typescript"": 79}"
binary,0,apache/airflow,175,"{""0"": 171, ""1"": 4}","{""python"": 175}"
binary,3,apache/arrow,260,"{""0"": 260}","{""python"": 260}"
binary,3,apache/echarts,80,"{""0"": 80}","{""typescript"": 80}"
