task,fold,repository,case_count,label_distribution,language_distribution
category,3,a2ui-project/a2ui,2,"{""model_contract"": 2}","{""typescript"": 2}"
category,2,aaddrick/claude-desktop-debian,2,"{""configuration"": 2}","{""typescript"": 2}"
category,3,activepieces/activepieces,2,"{""model_contract"": 2}","{""typescript"": 2}"
category,4,ag-ui-protocol/ag-ui,2,"{""configuration"": 1, ""model_contract"": 1}","{""python"": 2}"
category,0,agentconnect-md/agentconnect,1,"{""configuration"": 1}","{""typescript"": 1}"
category,1,agno-agi/agno,3,"{""api_reference"": 3}","{""python"": 3}"
category,1,airbytehq/airbyte,1,"{""api_reference"": 1}","{""python"": 1}"
category,2,akfamily/akquant,1,"{""api_reference"": 1}","{""python"": 1}"
category,4,amd-agi/primus,7,"{""configuration"": 7}","{""python"": 7}"
category,2,angular/angular,38,"{""api_reference"": 17, ""configuration"": 4, ""developer_setup"": 1, ""model_contract"": 16}","{""typescript"": 38}"
category,3,angular/angular-cli,50,"{""api_reference"": 13, ""configuration"": 14, ""developer_setup"": 6, ""model_contract"": 17}","{""typescript"": 50}"
category,4,ant-design/ant-design,18,"{""api_reference"": 4, ""configuration"": 4, ""model_contract"": 10}","{""typescript"": 18}"
category,1,anthropics/anthropic-sdk-python,2,"{""developer_setup"": 2}","{""python"": 2}"
category,1,anthropics/anthropic-sdk-typescript,4,"{""developer_setup"": 4}","{""typescript"": 4}"
category,3,apache/airflow,4,"{""configuration"": 2, ""developer_setup"": 1, ""model_contract"": 1}","{""python"": 4}"
category,4,appwrite/appwrite,42,"{""api_reference"": 21, ""configuration"": 7, ""model_contract"": 14}","{""typescript"": 42}"
category,4,areal-project/areal,2,"{""configuration"": 1, ""model_contract"": 1}","{""python"": 2}"
category,0,astrbotdevs/astrbot,1,"{""configuration"": 1}","{""python"": 1}"
category,3,autonomous-ai/autonomous-os,6,"{""api_reference"": 1, ""configuration"": 2, ""model_contract"": 3}","{""python"": 6}"
category,1,aws-samples/aws-cdk-examples,4,"{""developer_setup"": 3, ""model_contract"": 1}","{""typescript"": 4}"
category,0,aws/aws-cdk,2,"{""api_reference"": 1, ""configuration"": 1}","{""typescript"": 2}"
category,4,awslabs/agentcore-samples,5,"{""api_reference"": 1, ""configuration"": 2, ""model_contract"": 2}","{""python"": 5}"
category,0,babel/babel,17,"{""api_reference"": 5, ""configuration"": 4, ""developer_setup"": 2, ""model_contract"": 6}","{""typescript"": 17}"
category,2,bentoml/bentoml,2,"{""api_reference"": 1, ""configuration"": 1}","{""python"": 2}"
category,3,better-auth/better-auth,2,"{""configuration"": 1, ""model_contract"": 1}","{""typescript"": 2}"
category,3,blackboardsh/electrobun,1,"{""model_contract"": 1}","{""typescript"": 1}"
category,0,bluesky-social/social-app,13,"{""configuration"": 4, ""developer_setup"": 1, ""model_contract"": 8}","{""typescript"": 13}"
category,2,browser-use/browser-harness,5,"{""api_reference"": 1, ""configuration"": 2, ""developer_setup"": 1, ""model_contract"": 1}","{""python"": 5}"
category,3,browser-use/browser-use,2,"{""configuration"": 1, ""model_contract"": 1}","{""python"": 2}"
category,1,callstack/agent-device,3,"{""api_reference"": 2, ""developer_setup"": 1}","{""typescript"": 3}"
category,1,ccch1mneyyy/dsh-tui,2,"{""api_reference"": 2}","{""typescript"": 2}"
category,2,chakra-ui/chakra-ui,27,"{""api_reference"": 4, ""configuration"": 8, ""developer_setup"": 10, ""model_contract"": 5}","{""typescript"": 27}"
category,4,cline/cline,1,"{""model_contract"": 1}","{""typescript"": 1}"
category,2,codebuffai/freebuff,3,"{""api_reference"": 2, ""model_contract"": 1}","{""typescript"": 3}"
category,3,codewithcj/sparkyfitness,1,"{""configuration"": 1}","{""typescript"": 1}"
category,1,commaai/openpilot,1,"{""api_reference"": 1}","{""python"": 1}"
category,0,controlled-v2/jobfair-platform-copy,520,"{""api_reference"": 180, ""configuration"": 140, ""developer_setup"": 110, ""model_contract"": 90}","{""typescript"": 520}"
category,2,controlled-v2/rbi-property-valuation-copy,445,"{""api_reference"": 150, ""configuration"": 130, ""developer_setup"": 95, ""model_contract"": 70}","{""csharp"": 445}"
category,3,controlled-v2/rbi-related-parties-portal-copy,490,"{""api_reference"": 150, ""configuration"": 145, ""developer_setup"": 120, ""model_contract"": 75}","{""typescript"": 490}"
category,4,controlled-v2/rbi-test-forge-copy,405,"{""api_reference"": 100, ""configuration"": 105, ""developer_setup"": 135, ""model_contract"": 65}","{""csharp"": 405}"
category,1,controlled/jobfair-platform-copy,400,"{""api_reference"": 100, ""configuration"": 100, ""developer_setup"": 100, ""model_contract"": 100}","{""typescript"": 400}"
category,3,controlled/rbi-property-valuation-copy,400,"{""api_reference"": 100, ""configuration"": 100, ""developer_setup"": 100, ""model_contract"": 100}","{""csharp"": 400}"
category,2,controlled/rbi-related-parties-portal-copy,400,"{""api_reference"": 100, ""configuration"": 100, ""developer_setup"": 100, ""model_contract"": 100}","{""typescript"": 400}"
category,0,controlled/rbi-test-forge-copy,400,"{""api_reference"": 100, ""configuration"": 100, ""developer_setup"": 100, ""model_contract"": 100}","{""csharp"": 400}"
category,4,ctrliq/ascender,1,"{""model_contract"": 1}","{""python"": 1}"
category,0,custom-components/places,2,"{""configuration"": 2}","{""python"": 2}"
category,4,dagster-io/dagster,1,"{""configuration"": 1}","{""python"": 1}"
category,3,danny-avila/librechat,1,"{""configuration"": 1}","{""typescript"": 1}"
category,0,datalayer/jupyter-mcp-server,2,"{""configuration"": 1, ""developer_setup"": 1}","{""python"": 2}"
category,1,davidmonterocrespo24/velxio,1,"{""api_reference"": 1}","{""typescript"": 1}"
category,0,denoland/fresh,1,"{""api_reference"": 1}","{""typescript"": 1}"
category,1,docgeni/docgeni,1,"{""api_reference"": 1}","{""typescript"": 1}"
category,4,documenso/documenso,2,"{""model_contract"": 2}","{""typescript"": 2}"
category,2,encode/httpx,4,"{""api_reference"": 1, ""configuration"": 3}","{""python"": 4}"
category,0,encode/uvicorn,2,"{""api_reference"": 1, ""configuration"": 1}","{""python"": 2}"
category,2,ent/ent,11,"{""api_reference"": 7, ""model_contract"": 4}","{""go"": 11}"
category,1,eslint/eslint,50,"{""api_reference"": 1, ""configuration"": 12, ""developer_setup"": 7, ""model_contract"": 30}","{""typescript"": 50}"
category,1,go-chi/chi,3,"{""api_reference"": 3}","{""go"": 3}"
category,0,gofiber/fiber,2,"{""api_reference"": 2}","{""go"": 2}"
category,4,grafana/loki,2,"{""configuration"": 2}","{""go"": 2}"
category,1,graphql-python/graphene,9,"{""api_reference"": 7, ""model_contract"": 2}","{""python"": 9}"
category,3,grpc/grpc-node,1,"{""configuration"": 1}","{""typescript"": 1}"
category,4,keygraphhq/shannon,2,"{""configuration"": 2}","{""typescript"": 2}"
category,4,metabase/metabase,12,"{""configuration"": 12}","{""unknown"": 12}"
category,0,microsoft/autogen,5,"{""api_reference"": 1, ""configuration"": 4}","{""python"": 5}"
category,0,microsoft/azure-pipelines-tasks,5,"{""api_reference"": 3, ""configuration"": 2}","{""typescript"": 5}"
category,4,microsoft/graphrag,9,"{""configuration"": 6, ""model_contract"": 3}","{""python"": 9}"
category,2,microsoft/promptflow,3,"{""configuration"": 2, ""developer_setup"": 1}","{""python"": 3}"
category,2,microsoft/semantic-kernel,6,"{""api_reference"": 3, ""configuration"": 2, ""developer_setup"": 1}","{""python"": 6}"
category,4,microsoft/tsdoc,7,"{""api_reference"": 2, ""configuration"": 4, ""model_contract"": 1}","{""typescript"": 7}"
category,2,microsoft/vscode,84,"{""api_reference"": 26, ""configuration"": 32, ""model_contract"": 26}","{""typescript"": 84}"
category,3,nodejs/node,63,"{""api_reference"": 31, ""configuration"": 16, ""developer_setup"": 3, ""model_contract"": 13}","{""typescript"": 63}"
category,1,npm/cli,91,"{""api_reference"": 10, ""configuration"": 46, ""developer_setup"": 20, ""model_contract"": 15}","{""typescript"": 91}"
category,4,nuxt/nuxt,61,"{""api_reference"": 36, ""configuration"": 17, ""developer_setup"": 1, ""model_contract"": 7}","{""typescript"": 61}"
category,3,open-telemetry/opentelemetry-js-contrib,32,"{""api_reference"": 29, ""model_contract"": 3}","{""typescript"": 32}"
