run_key,sample_name,case_id,predicted_category,retrieval_context_available,final_status,llm_call_count,latency_seconds,selected_target_document,execution_error_code,execution_error_type,execution_error_message,repair_attempted_recorded,first_pass_safety_status,repair_safety_status
primary_natural_distribution::GH-CAND-6229,primary_natural_distribution,GH-CAND-6229,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4569,primary_natural_distribution,GH-CAND-4569,model_contract,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::DGPR-66136d4a5411f1a3,primary_natural_distribution,DGPR-66136d4a5411f1a3,configuration,True,human_review_required,3,113.41474908700002,README.md,,,,True,fail,fail
primary_natural_distribution::GH-CAND-4914,primary_natural_distribution,GH-CAND-4914,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4899,primary_natural_distribution,GH-CAND-4899,api_reference,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4888,primary_natural_distribution,GH-CAND-4888,api_reference,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4583,primary_natural_distribution,GH-CAND-4583,model_contract,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4564,primary_natural_distribution,GH-CAND-4564,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6249,primary_natural_distribution,GH-CAND-6249,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6179,primary_natural_distribution,GH-CAND-6179,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4556,primary_natural_distribution,GH-CAND-4556,model_contract,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-6202,primary_natural_distribution,GH-CAND-6202,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-5613,primary_natural_distribution,GH-CAND-5613,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::DGPR-7a8d94bdb9f3b1cd,primary_natural_distribution,DGPR-7a8d94bdb9f3b1cd,configuration,True,human_review_required,3,151.1809090900001,,invalid_structured_llm_output,JSONDecodeError,Unterminated string starting at: line 4 column 21 (char 92),,,
primary_natural_distribution::DGPR-7a5a1c92f3690d2c,primary_natural_distribution,DGPR-7a5a1c92f3690d2c,configuration,True,human_review_required,3,149.59699485700003,,invalid_structured_llm_output,JSONDecodeError,"Expecting ',' delimiter: line 5 column 25 (char 1381)",,,
primary_natural_distribution::GH-CAND-4559,primary_natural_distribution,GH-CAND-4559,configuration,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4885,primary_natural_distribution,GH-CAND-4885,api_reference,False,retrieval_context_unavailable,0,0.0,,,,,,,
primary_natural_distribution::GH-CAND-4893,primary_natural_distribution,GH-CAND-4893,api_reference,False,retrieval_context_unavailable,0,0.0,,,,,,,
