repository,rows,positives,positive_rate,stars,star_bucket,discovery_stratum,api_reference,configuration,developer_setup,model_contract,other_documentation
dimensionalos/dimos,80,18,0.225,4428,1000_9999,large_1000_9999,1,10,0,5,2
bluesky-social/social-app,80,16,0.2,18238,10000_plus,very_large_10000_plus,0,4,1,8,3
autonomous-ai/autonomous-os,80,12,0.15,208,100_999,medium_100_999,1,2,0,3,6
chakra-ui/chakra-ui,100,13,0.13,,unknown,unknown,1,2,10,0,0
awslabs/agentcore-samples,79,9,0.11392405063291139,3314,1000_9999,large_1000_9999,1,2,0,2,4
amd-agi/primus,80,7,0.0875,119,100_999,medium_100_999,0,7,0,0,0
torbido-hq/cicerone,50,4,0.08,,unknown,unknown,0,4,0,0,0
microsoft/graphrag,180,14,0.07777777777777778,,unknown,unknown,0,6,0,3,5
blackboardsh/electrobun,41,3,0.07317073170731707,12698,10000_plus,very_large_10000_plus,0,0,0,1,2
bitterbot-ai/bitterbot-desktop,14,1,0.07142857142857142,2443,1000_9999,large_1000_9999,0,1,0,0,0
codebuffai/freebuff,80,5,0.0625,10809,10000_plus,very_large_10000_plus,2,0,0,1,2
browser-use/browser-harness,80,5,0.0625,17141,10000_plus,very_large_10000_plus,1,2,1,1,0
aaddrick/claude-desktop-debian,80,5,0.0625,5359,1000_9999,large_1000_9999,0,2,0,0,3
aws-samples/aws-cdk-examples,80,4,0.05,,unknown,unknown,0,0,3,1,0
aws/aws-pdk,80,4,0.05,,unknown,unknown,0,3,1,0,0
ccch1mneyyy/dsh-tui,80,4,0.05,2552,1000_9999,large_1000_9999,2,0,0,0,2
browser-use/browser-use,80,4,0.05,110528,10000_plus,very_large_10000_plus,0,1,0,1,2
anthropics/anthropic-sdk-typescript,80,4,0.05,,unknown,unknown,0,0,4,0,0
vitejs/vite,20,1,0.05,,unknown,unknown,0,1,0,0,0
typescript-eslint/typescript-eslint,20,1,0.05,,unknown,unknown,0,1,0,0,0
vuejs/router,20,1,0.05,,unknown,unknown,1,0,0,0,0
elastic/elasticsearch-js,20,1,0.05,,unknown,unknown,0,1,0,0,0
microsoft/tsdoc,158,7,0.04430379746835443,,unknown,unknown,2,4,0,1,0
microsoft/semantic-kernel,180,7,0.03888888888888889,,unknown,unknown,3,2,1,0,1
davidmonterocrespo24/velxio,80,3,0.0375,2674,1000_9999,large_1000_9999,1,0,0,0,2
documenso/documenso,80,3,0.0375,14756,10000_plus,very_large_10000_plus,0,0,0,2,1
agno-agi/agno,80,3,0.0375,41923,10000_plus,very_large_10000_plus,3,0,0,0,0
danny-avila/librechat,80,3,0.0375,42454,10000_plus,very_large_10000_plus,0,1,0,0,2
assistant-ui/assistant-ui,80,3,0.0375,11845,10000_plus,very_large_10000_plus,3,0,0,0,0
microsoft/vscode,200,7,0.035,,unknown,unknown,1,3,0,2,1
microsoft/azure-pipelines-tasks,179,6,0.0335195530726257,,unknown,unknown,3,2,0,0,1
vercel/next.js,180,6,0.03333333333333333,,unknown,unknown,2,0,0,4,0
microsoft/autogen,180,6,0.03333333333333333,,unknown,unknown,1,4,0,0,1
canyon-project/canyon,31,1,0.03225806451612903,178,100_999,medium_100_999,0,0,0,0,1
angular/angular-cli,99,3,0.030303030303030304,,unknown,unknown,0,3,0,0,0
appwrite/appwrite,100,3,0.03,,unknown,unknown,2,0,0,1,0
awslabs/amazon-sagemaker-examples,75,2,0.02666666666666667,,unknown,unknown,0,0,1,0,1
